date,county,fips,doses_administered,new_doses_administered
2/23/2021,Mariposa,43,1376,28
2/23/2021,Mendocino,45,22486,182
2/23/2021,Merced,47,29305,581
2/23/2021,Modoc,49,1814,18
2/23/2021,Mono,51,7343,6
2/23/2021,Monterey,53,60076,1845
2/23/2021,Napa,55,40293,253
2/23/2021,Nevada,57,20416,337
2/23/2021,Orange,59,635285,7161
2/23/2021,Placer,61,97874,2020
2/23/2021,Plumas,63,2453,9
2/23/2021,Riverside,65,392884,9393
2/23/2021,Sacramento,67,258173,5344
2/23/2021,San Benito,69,7321,176
2/23/2021,San Bernardino,71,313379,7284
2/23/2021,San Diego,73,724683,8403
2/23/2021,San Francisco,75,189823,4464
2/23/2021,San Joaquin,77,102888,2799
2/23/2021,San Luis Obispo,79,54097,1904
2/23/2021,San Mateo,81,184448,9024
2/23/2021,Santa Barbara,83,79583,876
2/23/2021,Santa Clara,85,384935,9848
2/23/2021,Santa Cruz,87,69987,2094
2/23/2021,Shasta,89,25416,668
2/23/2021,Sierra,91,920,0
2/23/2021,Siskiyou,93,8896,175
2/23/2021,Solano,95,80034,1686
2/23/2021,Sonoma,97,121565,1776
2/23/2021,Stanislaus,99,83112,1469
2/23/2021,Sutter,101,16889,106
2/23/2021,Tehama,103,7665,47
2/23/2021,Trinity,105,1643,19
2/23/2021,Tulare,107,58907,1692
2/23/2021,Tuolumne,109,13217,123
2/23/2021,Ventura,111,159307,5222
2/23/2021,Yolo,113,46267,1693
2/23/2021,Yuba,115,8317,63
2/22/2021,Alameda,1,332523,6891
2/22/2021,Alpine,3,422,0
2/22/2021,Amador,5,7844,97
2/22/2021,Butte,7,47748,434
2/22/2021,Calaveras,9,9215,64
2/22/2021,Colusa,11,2588,7
2/22/2021,Contra Costa,13,267816,2263
2/22/2021,Del Norte,15,3017,0
2/22/2021,El Dorado,17,36519,983
2/22/2021,Fresno,19,158017,1496
2/22/2021,Glenn,21,4482,14
2/22/2021,Humboldt,23,25745,273
2/22/2021,Imperial,25,21430,207
2/22/2021,Inyo,27,3534,270
2/22/2021,Kern,29,105116,846
2/22/2021,Kings,31,11206,135
2/22/2021,Lake,33,10482,97
2/22/2021,Lassen,35,3336,1
2/22/2021,Los Angeles,37,1827609,25128
2/22/2021,Madera,39,21789,1724
2/22/2021,Marin,41,71236,3299
2/22/2021,Mariposa,43,1348,0
2/22/2021,Mendocino,45,22304,53
2/22/2021,Merced,47,28724,142
2/22/2021,Modoc,49,1796,0
2/22/2021,Mono,51,7337,52
2/22/2021,Monterey,53,58231,952
2/22/2021,Napa,55,40040,1555
2/22/2021,Nevada,57,20079,189
2/22/2021,Orange,59,628124,7495
2/22/2021,Placer,61,95854,1578
2/22/2021,Plumas,63,2444,0
2/22/2021,Riverside,65,383491,8202
2/22/2021,Sacramento,67,252829,6965
2/22/2021,San Benito,69,7145,33
2/22/2021,San Bernardino,71,306095,5144
2/22/2021,San Diego,73,716280,12887
2/22/2021,San Francisco,75,185359,1838
2/22/2021,San Joaquin,77,100089,1326
2/22/2021,San Luis Obispo,79,52193,212
2/22/2021,San Mateo,81,175424,1863
2/22/2021,Santa Barbara,83,78707,1180
2/22/2021,Santa Clara,85,375087,3151
2/22/2021,Santa Cruz,87,67893,1006
2/22/2021,Shasta,89,24748,101
2/22/2021,Sierra,91,920,0
2/22/2021,Siskiyou,93,8721,17
2/22/2021,Solano,95,78348,600
2/22/2021,Sonoma,97,119789,2173
2/22/2021,Stanislaus,99,81643,698
2/22/2021,Sutter,101,16783,614
2/22/2021,Tehama,103,7618,11
2/22/2021,Trinity,105,1624,0
2/22/2021,Tulare,107,57215,2962
2/22/2021,Tuolumne,109,13094,1017
2/22/2021,Ventura,111,154085,6353
2/22/2021,Yolo,113,44574,373
2/22/2021,Yuba,115,8254,372
2/21/2021,Alameda,1,325632,12963
2/21/2021,Alpine,3,422,0
2/21/2021,Amador,5,7747,368
2/21/2021,Butte,7,47314,261
2/21/2021,Calaveras,9,9151,122
2/21/2021,Colusa,11,2581,33
2/21/2021,Contra Costa,13,265553,8623
2/21/2021,Del Norte,15,3017,4
2/21/2021,El Dorado,17,35536,553
2/21/2021,Fresno,19,156521,3158
2/21/2021,Glenn,21,4468,232
2/21/2021,Humboldt,23,25472,675
2/21/2021,Imperial,25,21223,986
2/21/2021,Inyo,27,3264,515
2/21/2021,Kern,29,104270,2464
2/21/2021,Kings,31,11071,37
2/21/2021,Lake,33,10385,135
2/21/2021,Lassen,35,3335,13
2/21/2021,Los Angeles,37,1802481,29303
2/21/2021,Madera,39,20065,106
2/21/2021,Marin,41,67937,1252
2/21/2021,Mariposa,43,1348,67
2/21/2021,Mendocino,45,22251,160
2/21/2021,Merced,47,28582,368
2/21/2021,Modoc,49,1796,0
2/21/2021,Mono,51,7285,0
2/21/2021,Monterey,53,57279,1105
2/21/2021,Napa,55,38485,937
2/21/2021,Nevada,57,19890,808
2/21/2021,Orange,59,620629,9817
2/21/2021,Placer,61,94276,2302
2/21/2021,Plumas,63,2444,78
2/21/2021,Riverside,65,375289,8267
2/21/2021,Sacramento,67,245864,5026
2/21/2021,San Benito,69,7112,59
2/21/2021,San Bernardino,71,300951,4375
2/21/2021,San Diego,73,703393,9050
2/21/2021,San Francisco,75,183521,4279
2/21/2021,San Joaquin,77,98763,2732
2/21/2021,San Luis Obispo,79,51981,478
2/21/2021,San Mateo,81,173561,3973
2/21/2021,Santa Barbara,83,77527,1690
2/21/2021,Santa Clara,85,371936,10827
2/21/2021,Santa Cruz,87,66887,2082
2/21/2021,Shasta,89,24647,369
2/21/2021,Sierra,91,920,0
2/21/2021,Siskiyou,93,8704,29
2/21/2021,Solano,95,77748,2178
2/21/2021,Sonoma,97,117616,3257
2/21/2021,Stanislaus,99,80945,1538
2/21/2021,Sutter,101,16169,402
2/21/2021,Tehama,103,7607,279
2/21/2021,Trinity,105,1624,185
2/21/2021,Tulare,107,54253,578
2/21/2021,Tuolumne,109,12077,925
2/21/2021,Ventura,111,147732,1852
2/21/2021,Yolo,113,44201,1392
2/21/2021,Yuba,115,7882,110
2/20/2021,Alameda,1,312669,15976
2/20/2021,Alpine,3,422,33
2/20/2021,Amador,5,7379,350
2/20/2021,Butte,7,47053,1244
2/20/2021,Calaveras,9,9029,389
2/20/2021,Colusa,11,2548,110
2/20/2021,Contra Costa,13,256930,10146
2/20/2021,Del Norte,15,3013,59
2/20/2021,El Dorado,17,34983,779
2/20/2021,Fresno,19,153363,4743
2/20/2021,Glenn,21,4236,78
2/20/2021,Humboldt,23,24797,585
2/20/2021,Imperial,25,20237,844
2/20/2021,Inyo,27,2749,44
2/20/2021,Kern,29,101806,4380
2/20/2021,Kings,31,11034,169
2/20/2021,Lake,33,10250,239
2/20/2021,Lassen,35,3322,79
2/20/2021,Los Angeles,37,1773178,57478
2/20/2021,Madera,39,19959,950
2/20/2021,Marin,41,66685,2095
2/20/2021,Mariposa,43,1281,76
2/20/2021,Mendocino,45,22091,534
2/20/2021,Merced,47,28214,1294
2/20/2021,Modoc,49,1796,0
2/20/2021,Mono,51,7285,0
2/20/2021,Monterey,53,56174,2379
2/20/2021,Napa,55,37548,1237
2/20/2021,Nevada,57,19082,877
2/20/2021,Orange,59,610812,18124
2/20/2021,Placer,61,91974,3144
2/20/2021,Plumas,63,2366,29
2/20/2021,Riverside,65,367022,14841
2/20/2021,Sacramento,67,240838,8255
2/20/2021,San Benito,69,7053,292
2/20/2021,San Bernardino,71,296576,9798
2/20/2021,San Diego,73,694343,19690
2/20/2021,San Francisco,75,179242,6012
2/20/2021,San Joaquin,77,96031,4247
2/20/2021,San Luis Obispo,79,51503,1875
2/20/2021,San Mateo,81,169588,8026
2/20/2021,Santa Barbara,83,75837,3728
